cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
43900,NA,NA,NA,NA,NA,NA,2017,44500.3005346068,102107.622607368,45999.4316486726,11076,150642.97410565,15381795948.4313,0.7039374,29988.3,0.2359705,0.0036686,11383.48,0.0472437
43940,NA,NA,NA,NA,NA,NA,2017,33510.7427302463,97657.9572904316,47776.0130678081,NA,12440.3199699153,1214896236.30129,NA,NA,NA,NA,NA,NA
43980,NA,NA,NA,NA,NA,NA,2017,39543.0766009524,105171.458342523,57325.3031796032,NA,8813.7044690898,926950152.414183,NA,NA,NA,NA,NA,NA
44020,NA,NA,NA,NA,NA,NA,2017,36087.3482479841,102947.055666986,60567.0365805957,NA,10118.720301427,1041692462.14966,NA,NA,NA,NA,NA,NA
44100,NA,NA,NA,NA,NA,NA,2017,52253.6019975323,112246.214275445,72219.7037079886,10091,134276.559811276,15072035504.7461,0.7424398,34774.38,0.3017791,0.1594899,13771.62,0.177091
44180,NA,NA,NA,NA,NA,NA,2017,39369.9282742756,86880.8545951747,39250.9274968079,17092,208888.508064693,18148412095.7716,0.7375619,29902.5,0.2621851,0.0370671,7650.33,0.0677694
44220,NA,NA,NA,NA,NA,NA,2017,38971.2922827536,93335.7899115825,35075.5635723322,4142,50566.482718722,4719662607.6023,0.7296231,28045.07,0.275746,0.0813125,13593.75,0.2103354
44260,NA,NA,NA,NA,NA,NA,2017,33256.9298311247,66918.0291581065,30125.2699138845,NA,22418.5968313115,1500208316.44154,NA,NA,NA,NA,NA,NA
44300,NA,NA,NA,NA,NA,NA,2017,44359.7109724076,100258.49270271,48483.3345632692,5151,78659.662513041,7886299200.06137,0.6563926,24986.37,0.3411682,0.1217111,9806.646,0.1144109
44340,NA,NA,NA,NA,NA,NA,2017,33358.2721992016,75675.846061044,27323.2765292493,NA,27494.111962058,2080640184.42581,NA,NA,NA,NA,NA,NA
44420,NA,NA,NA,NA,NA,NA,2017,39609.6361209097,94756.5101907462,38507.4883056995,4195,49578.388401495,4697875065.80703,0.693651,31759.07,0.2916349,0.1333005,3315.605,0.0176398
44460,NA,NA,NA,NA,NA,NA,2017,42080.3363847451,106500.999132204,64896.7298431363,NA,15367.888939823,1636695526.6439,NA,NA,NA,NA,NA,NA
44500,NA,NA,NA,NA,NA,NA,2017,33534.1144304544,86446.1095622966,37360.0914126389,NA,18138.07104144,1567965676.49704,NA,NA,NA,NA,NA,NA
