cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
15580,462,377,609,698,750,1448,latino
15620,10505,8615,26959,22981,23098,46079,white non-hispanic
15620,80,84,140,101,203,304,black
15620,67,89,113,176,93,269,asian
15620,402,315,285,496,506,1002,latino
15660,12514,10461,27904,25658,25221,50879,white non-hispanic
15660,589,612,1097,1077,1221,2298,black
15660,196,80,360,369,267,636,asian
15660,3324,2355,3011,4116,4574,8690,latino
15680,20431,20016,47038,43343,44142,87485,white non-hispanic
15680,4001,4080,7841,8108,7814,15922,black
15680,638,631,1810,1757,1322,3079,asian
15680,1763,1444,2170,2595,2782,5377,latino
15700,3677,3856,13812,11041,10304,21345,white non-hispanic
15700,2212,1926,4763,4755,4146,8901,black
15700,56,80,189,182,143,325,asian
15700,615,465,535,792,823,1615,latino
15740,8232,7249,22232,19072,18641,37713,white non-hispanic
15740,91,111,292,171,323,494,black
15740,21,31,77,74,55,129,asian
15740,190,31,220,217,224,441,latino
15780,3504,3273,11123,9077,8823,17900,white non-hispanic
15780,2811,2164,6153,5922,5206,11128,black
15780,0,14,14,8,20,28,asian
15780,329,250,145,444,280,724,latino
15820,5000,5498,12769,12046,11221,23267,white non-hispanic
15820,201,435,559,570,625,1195,black
15820,61,121,67,113,136,249,asian
15820,211,200,172,236,347,583,latino
15860,7130,8146,26792,18810,23258,42068,white non-hispanic
15860,14,773,1358,35,2110,2145,black
15860,37,56,246,159,180,339,asian
15860,1125,2186,2747,1810,4248,6058,latino
15900,6878,6234,20583,16714,16981,33695,white non-hispanic
15900,118,765,469,126,1226,1352,black
15900,2,7,76,48,37,85,asian
15900,165,276,588,208,821,1029,latino
15940,72585,70801,214010,183674,173722,357396,white non-hispanic
15940,6705,6741,13517,13621,13342,26963,black
15940,595,699,1866,1825,1335,3160,asian
15940,2786,2012,2755,3739,3814,7553,latino
15980,95608,98369,399250,301845,291382,593227,white non-hispanic
15980,18802,15117,26745,31459,29205,60664,black
15980,1839,2122,6895,6235,4621,10856,asian
15980,43520,36741,61283,69497,72047,141544,latino
16020,17115,20560,47228,43433,41470,84903,white non-hispanic
16020,2738,2584,3246,4563,4005,8568,black
16020,114,766,285,636,529,1165,asian
16020,766,657,575,940,1058,1998,latino
16060,20557,28061,58820,53847,53591,107438,white non-hispanic
16060,2267,5159,4065,5830,5661,11491,black
16060,505,979,1184,1282,1386,2668,asian
16060,1292,1853,1074,2017,2202,4219,latino
16100,13812,11943,26250,25903,26102,52005,white non-hispanic
16100,225,183,435,351,492,843,black
16100,48,95,113,112,144,256,asian
16100,8631,7072,11279,13409,13573,26982,latino
16140,4781,3517,11548,10072,9774,19846,white non-hispanic
16140,165,83,53,135,166,301,black
16140,0,0,31,20,11,31,asian
16140,257,78,146,201,280,481,latino
16180,7890,8632,27319,21604,22237,43841,white non-hispanic
16180,114,247,570,202,729,931,black
16180,191,335,800,682,644,1326,asian
16180,4391,3486,4788,6055,6610,12665,latino
16220,17641,17978,39969,37630,37958,75588,white non-hispanic
16220,245,192,630,242,825,1067,black
16220,144,204,304,397,255,652,asian
16220,2424,2020,2222,3170,3496,6666,latino
16260,12375,12700,19079,22056,22098,44154,white non-hispanic
16260,123,62,96,108,173,281,black
16260,48,60,206,170,144,314,asian
